pixel_no	pixel_x	pixel_y	latitude	longitude	reflec_1_NOICOL_mean	reflec_1_NOICOL_sigma	band	Product	ICOL_ID	Percentage_difference	Distance_Km
20	113	236	58.68626	17.380072	0.0019222134	1.71E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	5.68	7.507
21	114	237	58.683067	17.38294	0.0017128485	2.46E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	5.98	7.898
22	115	238	58.67987	17.385807	0.0017387104	1.83E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	6.34	8.288
23	116	239	58.676678	17.388676	0.0017548609	2.53E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	6.30	8.680
24	117	240	58.67348	17.391542	0.0017333436	1.72E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	5.85	9.071
25	118	241	58.670288	17.394407	0.0018327686	1.68E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	5.00	9.462
26	119	242	58.667095	17.397272	0.0018068522	2.22E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	3.58	9.853
27	120	243	58.6639	17.400137	0.0016701387	2.66E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	4.05	10.244
28	121	244	58.660706	17.403002	0.0016718806	2.46E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	3.67	10.635
29	122	245	58.65751	17.405867	0.0016956448	2.49E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	3.11	11.027
30	123	246	58.654316	17.408728	0.0016116083	2.76E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	3.48	11.418
31	124	247	58.651123	17.411592	0.0016063869	1.92E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	2.99	11.809
32	125	248	58.64793	17.414452	0.001583101	1.58E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	3.16	12.201
33	126	249	58.644733	17.417315	0.0015524885	2.67E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	3.29	12.592
34	127	250	58.64154	17.420177	0.0016193114	2.16E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	2.48	12.983
35	128	251	58.63835	17.423035	0.0014697276	1.73E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	2.76	13.374
36	129	252	58.63516	17.425896	0.0015296331	2.04E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	2.54	13.766
37	130	253	58.63196	17.428755	0.0014925399	2.41E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	1.26	14.157
38	131	254	58.62877	17.431614	0.0014490532	2.47E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	1.59	14.549
39	132	255	58.625576	17.434471	0.0015026366	1.67E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	2.08	14.940
40	133	256	58.622383	17.437326	0.0014391955	9.97E-05	reflec_3	FUB_L1N_NOL1N_20100511	0	2.22	15.331
41	134	257	58.61919	17.440184	0.0015709304	2.23E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	1.67	15.723
42	135	258	58.615997	17.44304	0.0014427383	2.60E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	2.11	16.114
43	136	259	58.612804	17.445896	0.0015270032	2.18E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	2.40	16.506
44	137	260	58.609608	17.448751	0.0015477443	1.44E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	2.66	16.897
45	138	261	58.606415	17.451603	0.0016359139	1.33E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	2.08	17.289
46	139	262	58.60322	17.454458	0.0016347674	1.25E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	1.41	17.680
47	140	263	58.60003	17.457312	0.0015490135	1.04E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	1.58	18.071
48	141	264	58.596836	17.460165	0.0015602687	2.10E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	1.80	18.463
49	142	265	58.593643	17.463015	0.0016676912	1.88E-04	reflec_3	FUB_L1N_NOL1N_20100511	0	1.88	18.854
